x,y,type
100.0,30.0,left
99.49107209404664,34.26944514819856,left
97.97464868072487,38.45197670524289,left
95.48159976772592,42.46245039005659,left
92.06267664155905,46.219224523667926,left
87.78747871771291,49.64582201835856,left
82.74303669726424,52.67248723062775,left
77.03204087277989,55.23760598493543,left
70.77075065009433,57.28895986063555,left
64.0866278420715,58.78478920843492,left
57.11574191366426,59.69464325642798,left
50.0,60.0,left
42.88425808633575,59.69464325642798,left
35.91337215792852,58.78478920843492,left
29.229249349905682,57.28895986063556,left
22.967959127220116,55.23760598493543,left
17.25696330273575,52.67248723062775,left
12.212521282287092,49.64582201835856,left
7.937323358440942,46.21922452366793,left
4.518400232274075,42.46245039005659,left
2.0253513192751313,38.45197670524289,left
0.5089279059533638,34.26944514819856,left
0.0,30.000000000000004,left
0.5089279059533567,25.73055485180145,left
2.0253513192751242,21.54802329475712,left
4.518400232274082,17.537549609943405,left
7.937323358440942,13.780775476332074,left
12.212521282287078,10.354177981641449,left
17.25696330273574,7.327512769372255,left
22.967959127220126,4.762394015064565,left
29.229249349905682,2.711040139364446,left
35.913372157928514,1.2152107915650774,left
42.88425808633574,0.3053567435720197,left
49.99999999999999,0.0,left
57.115741913664245,0.30535674357201614,left
64.08662784207147,1.2152107915650774,left
70.7707506500943,2.7110401393644423,left
77.03204087277986,4.762394015064558,left
82.74303669726427,7.327512769372255,left
87.78747871771293,10.354177981641453,left
92.06267664155905,13.780775476332078,left
95.48159976772592,17.537549609943405,left
97.97464868072487,21.548023294757108,left
99.49107209404664,25.73055485180144,left
100.0,29.999999999999993,left
95.0,30.0,right
93.94792500695391,35.3742610052756,right
90.84089388519307,40.497227539006616,right
85.82418795675397,45.12935537984413,right
79.13238281518224,49.05405137819091,right
71.07837983149057,52.08780111115057,right
62.03877523381493,54.08874981298058,right
52.43625088634379,54.9633353462781,right
42.719810155125586,54.67066306353816,right
33.34378300970385,53.224417995419785,right
24.7465820586928,50.69222495392226,right
17.330202863459114,47.192486471335584,right
11.441427072458481,42.88884642942554,right
7.35560729677389,37.9825382533995,right
5.26379192805382,32.70297546059855,right
5.26379192805382,27.29702453940146,right
7.35560729677389,22.017461746600503,right
11.441427072458488,17.11115357057445,right
17.330202863459114,12.807513528664416,right
24.746582058692788,9.30777504607774,right
33.34378300970385,6.775582004580215,right
42.719810155125586,5.329336936461846,right
52.43625088634379,5.036664653721903,right
62.038775233814945,5.9112501870194265,right
71.07837983149057,7.912198888849428,right
79.13238281518225,10.945948621809094,right
85.82418795675397,14.870644620155877,right
90.84089388519305,19.502772460993377,right
93.94792500695391,24.62573899472439,right
95.0,29.999999999999993,right
